id	vocab_id	sentence
273	57	Managerial support is essential.
274	58	Stealing is against the law.
275	58	He was caught stealing.
276	58	Stealing damages trust.
277	58	They accused him of stealing.
278	58	Stealing from colleagues is unacceptable.
279	58	She admitted to stealing.
280	58	Stealing can have serious consequences.
281	58	The company fired him for stealing.
282	58	He was punished for stealing.
283	58	Stealing is morally wrong.
284	59	Let’s bounce some ideas off each other.
285	59	She bounced the idea off her manager.
286	59	He likes to bounce ideas off the team.
287	59	We bounced ideas off during the meeting.
288	59	She bounced her thoughts off me.
289	59	They bounced solutions off one another.
290	59	I need to bounce this idea off you.
291	59	He bounced ideas off his colleagues.
292	59	They bounced concepts off the group.
293	59	Let’s bounce ideas off before deciding.
294	60	He is looking for employment.
295	60	The company offers stable employment.
296	60	Employment opportunities are growing.
297	60	She found employment quickly.
298	60	They discussed terms of employment.
299	60	Employment rates are improving.
300	60	He lost his employment.
301	60	The contract defines employment conditions.
302	60	She returned to employment.
303	60	Employment benefits vary.
304	61	It is my duty to help.
305	61	He takes his duty seriously.
306	61	She was on duty last night.
307	61	Duty comes before pleasure.
308	61	They fulfilled their duty.
309	61	He neglected his duty.
310	61	Duty requires commitment.
311	61	She feels a sense of duty.
312	61	It’s your duty to report it.
313	61	They understand their duty.
314	62	The decision was fair.
315	62	Everyone deserves a fair chance.
316	62	That seems fair to me.
317	62	They want fair treatment.
318	62	The rules are fair.
319	62	She believes in fair competition.
320	62	The judge made a fair ruling.
321	62	We want a fair solution.
322	62	The deal was fair.
323	62	He played fair.
324	63	Take it easy and relax.
325	63	He told me to take it easy.
326	63	Take it easy after surgery.
327	63	She decided to take it easy today.
328	63	Just take it easy for now.
329	63	He needs to take it easy.
330	63	Take it easy on yourself.
331	63	The doctor said to take it easy.
332	63	Let’s take it easy tonight.
333	63	She tries to take it easy.
334	64	At least we tried.
335	64	He should arrive at least by noon.
336	64	It will take at least an hour.
337	64	At least she called.
338	64	You need at least two years of experience.
340	64	He earns at least that much.
341	64	At least one option worked.
343	64	At least they apologized.
344	65	His duties include managing the team.
345	65	She knows her duties well.
346	65	They outlined their duties.
347	65	The job duties are clear.
348	65	He failed to perform his duties.
349	65	Her duties changed recently.
350	65	They share their duties.
351	65	The contract defines duties.
352	65	Duties must be respected.
353	65	She accepted new duties.
354	66	We tailored the solution to the client.
355	66	She tailored her resume.
356	66	The course is tailored for beginners.
357	66	They tailored the service.
358	66	He tailored his approach.
359	66	The plan was tailored to our needs.
360	66	She tailored the presentation.
361	66	The program is tailored specifically.
362	66	They tailor products for customers.
363	66	He tailored the message.
364	67	Choose whichever option you like.
365	67	Whichever you prefer is fine.
366	67	You can take whichever seat.
367	67	Whichever comes first wins.
368	67	Pick whichever works best.
369	67	Whichever path you choose.
370	67	Whichever answer is correct.
371	67	Use whichever tool you need.
372	67	Whichever solution fits.
373	67	Whichever decision you make.
374	68	Please proofread this document.
375	68	She proofread the article.
376	68	He forgot to proofread.
377	68	The text was proofread carefully.
378	68	She asked me to proofread.
379	68	Always proofread your work.
380	68	The editor proofread the content.
381	68	He proofread the email.
382	68	They proofread the report.
383	68	She proofread everything.
384	69	We need to leverage our resources.
385	69	He leveraged his experience.
386	69	They leveraged technology.
387	69	She knows how to leverage skills.
388	69	Leverage your network.
389	69	They leveraged the opportunity.
390	69	He leveraged data insights.
391	69	We leveraged existing tools.
392	69	She leveraged her strengths.
393	69	They leveraged partnerships.
394	70	Tune in to the show tonight.
395	70	She tuned in to the webinar.
396	70	He tunes in every morning.
397	70	Don’t forget to tune in.
398	70	They tuned in late.
399	70	Tune in for updates.
400	70	She tuned in online.
401	70	He tuned in on time.
402	70	They tune in regularly.
403	70	Tune in tomorrow.
404	71	He landed a new job.
405	71	She landed the deal.
406	71	They landed safely.
407	71	He hopes to land an interview.
408	71	The plane will land soon.
409	71	She landed her first client.
410	71	They landed the contract.
411	71	He finally landed the role.
412	71	She landed a promotion.
413	71	They landed the project.
414	72	The effort was worthwhile.
415	72	It is worthwhile to learn English.
416	72	The trip was worthwhile.
417	72	She found it worthwhile.
418	72	The investment is worthwhile.
419	72	It was a worthwhile experience.
420	72	He believes it’s worthwhile.
421	72	The risk was worthwhile.
422	72	It proved worthwhile.
423	72	The project is worthwhile.
424	73	She attended a career fair.
425	73	The career fair was crowded.
426	73	They met recruiters at the career fair.
427	73	He found opportunities at the career fair.
428	73	The university hosted a career fair.
429	73	She prepared for the career fair.
430	73	They promoted jobs at the career fair.
431	73	He networked at the career fair.
432	73	The career fair helped students.
433	73	Many companies joined the career fair.
434	79	This is an entry-level position.
435	79	She applied for an entry-level job.
436	79	Entry-level roles require little experience.
437	79	He started in an entry-level role.
438	79	The company offers entry-level opportunities.
439	79	Most graduates look for entry-level positions.
440	79	Entry-level employees receive training.
441	79	She accepted an entry-level offer.
442	79	Entry-level jobs help build experience.
443	79	He was hired for an entry-level position.
444	80	The workload was overwhelming.
445	80	The response was overwhelming.
446	80	It was an overwhelming experience.
447	80	The task felt overwhelming.
448	80	The support was overwhelming.
449	80	The situation became overwhelming.
450	80	The noise was overwhelming.
451	80	The emotion was overwhelming.
452	80	An overwhelming challenge appeared.
453	80	The demand was overwhelming.
454	81	Job seekers attended the fair.
455	81	Seekers are looking for opportunities.
456	81	Many seekers applied online.
457	81	The platform helps job seekers.
458	81	Seekers must submit resumes.
459	81	Job seekers need patience.
460	81	Seekers gathered at the event.
461	81	The company supports seekers.
462	81	Seekers shared experiences.
463	81	Young seekers joined the program.
464	82	Please respond at once.
465	82	She left at once.
466	82	They acted at once.
467	82	Everything happened at once.
468	82	He understood it at once.
469	82	The issue was solved at once.
470	82	She replied at once.
471	82	They agreed at once.
472	82	He reacted at once.
473	82	The team moved at once.
474	83	So far, everything is fine.
475	83	I like the job so far.
476	83	So far, no problems.
477	83	The results are good so far.
478	83	So far, we agree.
479	83	Nothing has changed so far.
480	83	So far, the plan works.
481	83	So far, so good.
482	83	He is satisfied so far.
483	83	So far, we succeeded.
484	84	He was hired on the spot.
485	84	She answered on the spot.
486	84	They decided on the spot.
487	84	He solved the problem on the spot.
488	84	She reacted on the spot.
489	84	He was fired on the spot.
490	84	She improvised on the spot.
491	84	The decision was made on the spot.
492	84	They agreed on the spot.
493	84	He responded on the spot.
494	85	The design grabs attention.
495	85	You need to grab attention fast.
496	85	The headline grabbed attention.
497	85	Colors help grab attention.
498	85	The speech grabbed attention.
499	85	He tried to grab attention.
500	85	This poster grabs attention.
501	85	The intro grabbed attention.
502	85	She knows how to grab attention.
503	85	The booth grabbed attention.
504	86	The intro hooked me.
505	86	That scene really hooks viewers.
506	86	You need a hook in your pitch.
507	86	The story hooked the audience.
508	86	The first line hooks attention.
509	86	Good hooks are memorable.
510	86	The video had a strong hook.
511	86	The hook was effective.
512	86	A good hook keeps interest.
513	86	That hook worked well.
514	87	They were shaking hands.
515	87	Shaking hands is a formal greeting.
516	87	He avoided shaking hands.
517	87	Shaking hands shows respect.
518	87	They greeted by shaking hands.
519	87	Shaking hands is common in meetings.
520	87	She felt nervous shaking hands.
521	87	They started by shaking hands.
522	87	Shaking hands sealed the deal.
523	87	Everyone was shaking hands.
524	88	The company will compensate employees.
525	88	He tried to compensate for the delay.
526	88	Money cannot compensate the loss.
527	88	The bonus compensates extra work.
528	88	They compensated the mistake.
529	88	Time off can compensate overtime.
530	88	She was compensated fairly.
531	88	The benefit compensates the effort.
532	88	They want to compensate damages.
533	88	The raise compensates inflation.
534	89	She applied for an internship.
535	89	The internship lasts six months.
536	89	He gained experience through an internship.
537	89	Internships help students.
538	89	She completed her internship.
539	89	The company offers internships.
540	89	Internship programs are competitive.
541	89	He learned a lot during the internship.
542	89	Internships build careers.
543	89	She accepted an internship offer.
544	90	The company has a booth at the fair.
545	90	She visited the booth.
546	90	The booth attracted visitors.
547	90	They set up a booth.
548	90	The booth displayed products.
549	90	He worked at the booth.
550	90	The booth was crowded.
551	90	Each company had a booth.
552	90	The booth grabbed attention.
553	90	The booth looked professional.
554	91	I will follow up tomorrow.
555	91	She followed up by email.
556	91	Please follow up with them.
557	91	He forgot to follow up.
558	91	Following up is important.
559	91	She did a follow up call.
560	91	Always follow up after interviews.
561	91	He promised to follow up.
562	91	They will follow up later.
563	91	Make sure to follow up.
564	92	Please confirm your availability.
565	92	She has limited availability.
566	92	Availability starts next week.
567	92	He checked her availability.
568	92	The job depends on availability.
569	92	Availability may change.
570	92	She stated her availability.
571	92	They discussed availability.
572	92	Availability is required.
573	92	He asked about availability.
574	93	The company supports people with disabilities.
575	93	She has a physical disability.
576	93	Disability should not limit opportunity.
577	93	The form asks about disability.
578	93	He disclosed a disability.
579	93	Disability laws protect workers.
580	93	They provide disability access.
581	93	Awareness about disability is growing.
582	93	The policy covers disability.
583	93	Disability accommodations are required.
584	94	It is illegal to discriminate against employees.
585	94	They should not discriminate against anyone.
586	94	The law protects people from discrimination.
587	94	You cannot discriminate against candidates.
588	94	The policy forbids discrimination.
589	94	Companies must not discriminate against workers.
590	94	He felt discriminated against.
591	94	Discrimination is unacceptable.
592	94	They fight discrimination.
593	94	Discriminating against others is wrong.
594	95	The form asks for marital status.
595	95	Marital status should not matter.
596	95	He disclosed his marital status.
597	95	Companies cannot ask about marital status.
598	95	She updated her marital status.
599	95	Marital status is personal information.
600	95	The question about marital status is illegal.
601	95	They avoid asking marital status.
602	95	Marital status is protected by law.
603	95	The policy covers marital status.
604	96	I can vouch for his skills.
605	96	She vouched for her colleague.
606	96	He can vouch for the quality.
607	96	They vouched for his honesty.
608	96	I vouch for this product.
609	96	She vouched for the candidate.
610	96	He vouched for her experience.
611	96	They can vouch for reliability.
612	96	I can vouch for the service.
613	96	She vouched for him.
614	97	Experience is an asset.
615	97	Communication is a key asset.
616	97	Skills are valuable assets.
617	97	Teamwork is an asset.
618	97	His attitude is an asset.
619	97	Knowledge is an asset.
620	97	This tool is an asset.
621	97	She became an asset to the team.
622	97	Time is an asset.
623	97	The asset added value.
624	98	She wrote a cover letter.
625	98	The cover letter was well written.
626	98	Attach a cover letter.
627	98	He updated his cover letter.
628	98	A cover letter explains experience.
629	98	Employers read cover letters.
630	98	Her cover letter stood out.
631	98	Write a clear cover letter.
632	98	The cover letter was short.
633	98	He sent a cover letter.
634	99	The paperwork was a hassle.
635	99	It’s too much hassle.
636	99	The process is a hassle.
637	99	Traveling can be a hassle.
638	99	I don’t want the hassle.
639	99	It’s not worth the hassle.
640	99	The setup was a hassle.
641	99	That sounds like a hassle.
642	99	Avoid unnecessary hassle.
643	99	It became a real hassle.
644	100	She received a form letter.
645	100	The company sent a form letter.
646	100	It was clearly a form letter.
647	100	The reply looked like a form letter.
648	100	Form letters feel impersonal.
649	100	He used a form letter.
650	100	The rejection was a form letter.
651	100	They rely on form letters.
652	100	A form letter saves time.
653	100	She customized the form letter.
654	101	The email ended with Sincerely.
655	101	He signed the letter Sincerely.
656	101	Sincerely is a formal closing.
657	101	She wrote Sincerely at the end.
658	101	The message closed with Sincerely.
659	101	Sincerely sounds professional.
660	101	The letter said Sincerely.
661	101	Use Sincerely in formal emails.
662	101	Sincerely is widely used.
663	101	He ended it with Sincerely.
664	102	She is aware of the risks.
665	102	I wasn’t aware of that.
666	102	He became aware of the issue.
667	102	They are fully aware.
668	102	She made him aware.
669	102	Be aware of deadlines.
670	102	He is aware of the rules.
671	102	They weren’t aware.
672	102	Stay aware of changes.
673	102	She is aware now.
674	103	I booked a time slot.
675	103	The slot is available.
676	103	She got the last slot.
677	103	The meeting slot changed.
678	103	We have an open slot.
679	103	The slot was confirmed.
680	103	I need a free slot.
681	103	The slot fits my schedule.
682	103	Choose a time slot.
683	103	The slot is taken.
684	104	We can meet tomorrow, if that suits you.
685	104	I can reschedule, if that suits you.
686	104	Let me know if that suits you.
687	104	Friday works, if that suits you.
688	104	We can call later, if that suits you.
689	104	I’ll send it today, if that suits you.
690	104	We can adjust, if that suits you.
691	104	I can wait, if that suits you.
692	104	We can proceed, if that suits you.
693	104	We’ll move forward, if that suits you.
694	105	I need to find out the truth.
695	105	She found out yesterday.
696	105	Let me find out.
697	105	He tried to find out more.
698	105	They want to find out why.
699	105	I found out online.
700	105	She found out later.
701	105	Find out what happened.
702	105	He found out quickly.
703	105	We’ll find out soon.
704	106	She is very picky.
705	106	He’s picky about food.
706	106	The client is picky.
707	106	Don’t be so picky.
708	106	She’s picky with details.
709	106	He’s picky about quality.
710	106	The boss is picky.
711	106	They are picky buyers.
712	106	Kids can be picky.
713	106	I’m not that picky.
714	107	The news spread by word of mouth.
715	107	They heard it by word of mouth.
716	107	Marketing works by word of mouth.
717	107	It spread through word of mouth.
718	107	Word of mouth is powerful.
719	107	The brand grew by word of mouth.
720	107	They rely on word of mouth.
721	107	Word of mouth builds trust.
722	107	It travels by word of mouth.
723	107	Word of mouth matters.
724	108	We need to advance the schedule.
725	108	Technology continues to advance.
726	108	She advanced her career.
727	108	The project advanced quickly.
728	108	He paid in advance.
729	108	They advanced to the next round.
730	108	Advance planning helps.
731	108	The team advanced together.
732	108	We must advance carefully.
733	108	She asked for an advance.
734	109	So far so good, knock on wood.
735	109	It hasn’t failed, knock on wood.
736	109	Everything works, knock on wood.
737	109	He added knock on wood.
738	109	They laughed and said knock on wood.
739	109	Knock on wood, no issues.
740	109	She whispered knock on wood.
741	109	Knock on wood, we’re safe.
742	109	He tapped the desk, knock on wood.
743	109	Knock on wood, it lasts.
744	110	Let’s catch some rays.
745	110	They went to catch some rays.
746	110	I want to catch some rays.
747	110	She plans to catch some rays.
748	110	We’ll catch some rays later.
749	110	Time to catch some rays.
750	110	They caught some rays at the beach.
751	110	Go outside and catch some rays.
752	110	He went to catch some rays.
753	110	We caught some rays.
754	111	You need to chill out.
755	111	Let’s chill out this weekend.
756	111	He told her to chill out.
757	111	She needs to chill out.
758	111	Chill out and relax.
759	111	They chilled out at home.
760	111	He chilled out after work.
761	111	Just chill out a bit.
762	111	Music helps me chill out.
763	111	We should chill out more.
764	112	I commute with nature every day.
765	112	She enjoys commuting with nature.
766	112	Commuting with nature reduces stress.
767	112	He prefers to commute with nature.
768	112	They commute with nature daily.
769	112	She chose to commute with nature.
770	112	Commuting with nature feels peaceful.
771	112	He started commuting with nature.
772	112	It’s nice to commute with nature.
773	112	They love to commute with nature.
774	113	He’s a couch potato.
775	113	She became a couch potato.
776	113	Don’t be a couch potato.
777	113	He spent the weekend as a couch potato.
778	113	A couch potato avoids exercise.
779	113	Too much TV makes you a couch potato.
780	113	She jokes about being a couch potato.
781	113	He admits he’s a couch potato.
782	113	Couch potatoes love streaming.
783	113	They turned into couch potatoes.
784	114	She looks concerned.
785	114	I’m concerned about the result.
786	114	He sounded concerned.
787	114	They are concerned with safety.
788	114	The manager is concerned.
789	114	She felt concerned.
790	114	I’m deeply concerned.
791	114	Parents are concerned.
792	114	He became concerned.
793	114	The team was concerned.
794	115	He gave a big grin.
795	115	She couldn’t hide her grin.
796	115	A grin appeared on his face.
797	115	He smiled with a grin.
798	115	Her grin was contagious.
799	115	The child had a wide grin.
800	115	He answered with a grin.
801	115	A grin showed confidence.
802	115	She flashed a grin.
803	115	The grin said it all.
804	116	She gave him a wink.
805	116	He winked jokingly.
806	116	The wink was friendly.
807	116	She winked at the camera.
808	116	A wink can mean a joke.
809	116	He finished with a wink.
810	116	The wink felt playful.
811	116	She added a wink.
812	116	He sent a wink emoji.
813	116	The wink showed confidence.
814	117	She took a quick glance.
815	117	He glanced at the clock.
816	117	A glance was enough.
817	117	She stole a glance.
818	117	He gave her a glance.
819	117	The glance revealed interest.
820	117	She glanced back.
821	117	He took a brief glance.
822	117	A glance showed concern.
823	117	They exchanged a glance.
824	118	She is very dependable.
825	118	He’s a dependable worker.
826	118	The system is dependable.
827	118	They need dependable staff.
828	118	A dependable friend helps.
829	118	She proved dependable.
830	118	The service is dependable.
831	118	He is known as dependable.
832	118	Dependable people earn trust.
833	118	The team is dependable.
834	119	It was a foolish mistake.
835	119	That sounds foolish.
836	119	He made a foolish decision.
837	119	Don’t be foolish.
838	119	It would be foolish to ignore this.
839	119	She felt foolish afterward.
840	119	Foolish choices lead to problems.
841	119	He acted foolishly.
842	119	It was foolish of him.
843	119	A foolish move cost him.
844	120	The issue is settled.
845	120	She felt settled at home.
846	120	The matter was settled quickly.
847	120	They finally settled down.
848	120	The dust has settled.
849	120	He seemed settled.
850	120	The argument is settled.
851	120	She looked settled.
852	120	Everything is settled now.
853	120	They are settled in.
854	121	The weapon was hidden.
855	121	He dropped his weapon.
856	121	The weapon was illegal.
857	121	She carried a weapon.
858	121	The weapon caused fear.
859	121	They found the weapon.
860	121	The weapon was loaded.
861	121	He used the weapon.
862	121	The weapon was seized.
863	121	A dangerous weapon.
864	122	He threatened to quit.
865	122	They threatened action.
866	122	Don’t threaten people.
867	122	The storm threatened the coast.
868	122	She felt threatened.
869	122	The news threatened stability.
870	122	He didn’t mean to threaten.
871	122	Threatening behavior is serious.
872	122	They threaten change.
873	122	It could threaten safety.
874	123	The door burst open.
875	123	The box burst open.
876	123	The bag burst open.
877	123	The room burst open suddenly.
878	123	The container burst open.
879	123	The lid burst open.
880	123	The gate burst open.
881	123	The seal burst open.
882	123	The package burst open.
883	123	The window burst open.
884	124	They tried to kidnap him.
885	124	The child was kidnapped.
886	124	He planned to kidnap her.
887	124	The criminals kidnapped someone.
888	124	She feared being kidnapped.
889	124	The plot involved kidnap.
890	124	Police stopped the kidnap.
891	124	It was a kidnap attempt.
892	124	Kidnapping is a serious crime.
893	124	The story involved kidnap.
894	125	The dog began to growl.
895	125	He let out a growl.
896	125	The engine growled.
897	125	A low growl followed.
898	125	The animal growled loudly.
899	125	She heard a growl.
900	125	The growl sounded threatening.
901	125	The dog growled again.
902	125	A warning growl.
903	125	The growl scared him.
904	126	She was irked by the delay.
905	126	He looked irked.
906	126	The comment irked her.
907	126	I felt irked.
908	126	He was clearly irked.
909	126	The noise irked him.
910	126	She sounded irked.
911	126	The situation irked everyone.
912	126	He grew irked.
913	126	I was slightly irked.
914	127	The bird stayed in the cage.
915	127	The animal escaped the cage.
916	127	The cage was locked.
917	127	They cleaned the cage.
918	127	The cage was small.
919	127	The lion paced its cage.
920	127	The cage door opened.
921	127	A metal cage.
922	127	The cage rattled.
923	127	The cage was empty.
924	128	The magician made it vanish.
925	128	The pain vanished.
926	128	He vanished suddenly.
927	128	The fog vanished.
928	128	The hope vanished.
929	128	The figure vanished.
930	128	She vanished into the crowd.
931	128	The sound vanished.
932	128	The fear vanished.
933	128	It vanished overnight.
934	129	He spit on the ground.
935	129	Don’t spit inside.
936	129	She spit out the drink.
937	129	He tried not to spit.
938	129	The camel can spit.
939	129	Spit that out.
940	129	He spit angrily.
941	129	The word made him spit.
942	129	She almost spit laughing.
943	129	The child spit food.
944	130	She felt pride in her work.
945	130	His pride was hurt.
946	130	Pride can be dangerous.
947	130	He swallowed his pride.
948	130	They take pride in quality.
949	130	Pride filled her heart.
950	130	It was a matter of pride.
951	130	He spoke with pride.
952	130	Pride held him back.
953	130	She showed pride.
954	131	He tried to sneak out.
955	131	She sneaked in quietly.
956	131	They planned to sneak away.
957	131	He likes to sneak snacks.
958	131	The cat sneaked up.
959	131	She sneaked a look.
960	131	They sneaked past security.
961	131	He tried to sneak around.
962	131	A sneak attack.
963	131	She managed to sneak out.
964	132	Here goes nothing, he said.
965	132	She smiled, here goes nothing.
966	132	Here goes nothing before the jump.
967	132	He whispered here goes nothing.
968	132	Here goes nothing, let’s try.
969	132	They laughed, here goes nothing.
970	132	Here goes nothing before calling.
971	132	He sighed, here goes nothing.
972	132	Here goes nothing again.
973	132	She thought, here goes nothing.
974	133	She was startled by the noise.
975	133	He looked startled.
976	133	The sound startled him.
977	133	I felt startled.
978	133	The cat was startled.
979	133	They were startled awake.
980	133	A startled reaction.
981	133	He jumped, startled.
982	133	She seemed startled.
983	133	The sudden move startled her.
984	134	The glass shattered.
985	134	The mirror shattered.
986	134	The dream shattered.
987	134	The impact shattered it.
988	134	The window shattered loudly.
989	134	The fall shattered his confidence.
990	134	It shattered into pieces.
991	134	The noise shattered silence.
992	134	The explosion shattered walls.
993	134	The cup shattered.
994	135	She hurt her ankle.
995	135	His ankle was swollen.
996	135	He twisted his ankle.
997	135	The ankle healed slowly.
998	135	She wore an ankle brace.
999	135	The injury affected his ankle.
1000	135	He iced his ankle.
1001	135	The ankle was sore.
1002	135	A broken ankle.
1003	135	The ankle hurt badly.
1004	136	They felt trapped.
1005	136	He was trapped inside.
1006	136	The animal was trapped.
1007	136	She felt trapped at work.
1008	136	The car was trapped.
1009	136	They were trapped underground.
1010	136	He remained trapped.
