id	word	meaning	hint
202	awake	acordar	to stop sleeping
203	beat	bater / derrotar	to hit repeatedly
204	bear	suportar / dar à luz	to carry or tolerate
205	bend	dobrar	to curve something
206	bind	atar / ligar	to tie together
207	bite	morder	to use teeth
208	bleed	sangrar	to lose blood
209	blow	soprar	to move air
210	break	quebrar	to damage into pieces
211	build	construir	to make something
212	burn	queimar	to be on fire
213	buy	comprar	to pay money for something
214	catch	pegar / capturar	to grab or capture
215	choose	escolher	to select an option
216	cling	agarrar-se	to hold tightly
217	creep	rastejar	to move slowly
218	deal	lidar / negociar	to manage or distribute
219	dig	cavar	to make a hole
220	draw	desenhar / puxar	to make a picture or pull
221	dream	sonhar	to experience dreams
222	drink	beber	to consume liquid
223	drive	dirigir	to control a vehicle
224	eat	comer	to consume food
225	fall	cair	to move downward
226	feed	alimentar	to give food
227	fight	lutar	to battle
228	flee	fugir	to run away
229	fly	voar	to move through air
230	forbid	proibir	to not allow
231	forget	esquecer	to fail to remember
232	forgive	perdoar	to stop feeling anger
233	freeze	congelar	to become ice
234	grow	crescer	to increase in size
235	hang	pendurar	to suspend
236	hide	esconder	to keep out of sight
237	hit	acertar	to strike
238	hurt	machucar	to cause pain
240	kneel	ajoelhar	to rest on knees
242	lay	colocar	to put something down
243	lead	liderar	to guide
244	lend	emprestar	to give temporarily
245	let	deixar	to allow
246	lie	deitar	to rest flat
247	lose	perder	to fail to keep
248	mean	significar	to express meaning
249	meet	encontrar-se	to see someone
250	pay	pagar	to give money
251	prove	provar	to show truth
252	read	ler	to understand text
253	ride	andar (bike/cavalo)	to sit and control movement
254	ring	tocar (telefone)	to produce sound
255	rise	erguer-se	to go up
256	run	correr	to move fast
257	seek	procurar	to try to find
258	sell	vender	to exchange for money
259	send	enviar	to cause to go somewhere
260	set	colocar / ajustar	to put or adjust
261	shake	tremer	to move violently
262	shine	brilhar	to give light
263	shoot	atirar	to fire a weapon
264	show	mostrar	to display
265	shrink	encolher	to become smaller
266	shut	fechar	to close
267	sing	cantar	to make music
268	sink	afundar	to go underwater
269	sit	sentar	to rest on chair
270	sleep	dormir	to rest
271	slide	escorregar	to move smoothly
272	speak	falar	to talk
273	spend	gastar	to use money or time
274	spin	girar	to rotate
275	stand	ficar em pé	to be upright
276	stick	grudar	to attach
277	sting	picar	to injure with a sting
278	strike	atingir	to hit forcefully
280	sweep	varrer	to clean floor
281	swim	nadar	to move in water
282	teach	ensinar	to help learn
283	tear	rasgar	to rip
284	throw	jogar / arremessar	to toss
285	wake	acordar	to stop sleeping
286	wear	vestir	to have clothes on
287	win	ganhar	to achieve victory
289	drills	treinamentos repetitivos	repeated practice activities designed to train skills or prepare for emergencies
290	doomed	condenado	certain to fail or have a bad outcome
291	fruitless	sem resultados	producing no useful results or success
292	narrow	limitado	having little width or limited scope
293	accomplished	bem-sucedido	having achieved a lot or completed something successfully
294	pillow	travesseiro	a soft object used to support the head while sleeping
295	bagel	bagel (tipo de pão)	a round bread roll with a hole in the middle
296	continental breakfast	café da manhã continental	a light breakfast with bread, butter, jam, and coffee or juice
297	jam	geleia	a sweet spread made from fruit and sugar
298	waiter	garçom	a person whose job is to serve food in a restaurant
299	hen	galinha	a female chicken kept for eggs or meat
300	wealthy	rico(informal)	having a lot of money or valuable assets
301	seized	apreendido	taken suddenly or with legal authority
302	stoking	alimentando	adding fuel or effort to make something stronger or more intense
303	beverage	bebida	a drink of any kind, except usually water
304	disgusting	repugnante	causing strong dislike or revulsion
305	mess	bagunça	a dirty or disorganized state or situation
306	stale	velho/amanhecido	no longer fresh, interesting, or effective
307	endangered	em perigo de extinção	at risk of disappearing or becoming extinct
308	loyal	leal	showing strong support or faithfulness to a person, group, or cause
309	appetizer	entrada (refeição)	a small dish served before the main course
310	aisle	corredor	a narrow passage between rows of seats or shelves
311	layover	conexão; escala (voo)	a short stay at an airport between flights
312	checked luggage	bagagem despachada	bags given to the airline to be carried in the cargo hold
313	takeoff	decolagem	the moment when an aircraft leaves the ground
314	honeymoon	lua de mel	a vacation taken by a couple after getting married
315	kindness	gentileza	the quality of being friendly, generous, and considerate
316	flavors	sabores	distinct tastes of food or drink
317	instead	em vez disso	as an alternative or replacement
318	salad dressing	molho para salada	a sauce added to salad for flavor
319	soft drink	bebida não alcoólica	a sweet, non-alcoholic carbonated drink
320	glad	feliz	feeling happy or pleased
321	roast	assar	to cook food using dry heat or food that is cooked this way
322	sweeten	adoçar	to make something sweeter
323	as well	também; além disso	in addition; too
324	also	também	used to add information
325	blossom	 florescer; flor	to develop or grow successfully; a flower
326	shame	vergonha; pena	a feeling of guilt, embarrassment, or regret
327	whose	cujo(a)	used to ask or show possession
328	among	entre	no meio de; fazendo parte de um grupo
329	although	embora; apesar de	used to introduce a contrast
330	hunger	fome; desejo intenso	the feeling of needing food or a strong desire for something
331	swift	rápido; veloz	moving very fast
332	stunning	deslumbrante; impressionante	extremely attractive or impressive
333	pretend	fingir	to act as if something is true when it is not
336	bubbling	borbulhando; animado	producing bubbles or showing lively excitement
337	uncrewed	não tripulado	operating without people on board
338	urged	instado; pressionado	strongly encouraged or persuaded to do something
339	afford	poder pagar	have enough money or resources for something
340	leather	couro	a strong material made from animal skin
341	tight	apertado	firmly fixed or with little space
342	loose	solto	not firmly fixed or not tight
343	caught	pegou; capturado; flagrado	past tense of catch; taken or trapped
344	plump	gordinho	round and full in a pleasant way
345	thorns	espinhos	sharp points on plants that can hurt
346	thick	grosso; espesso; denso	having a large distance between opposite sides
347	grown-ups	adultos	people who are fully developed or mature
348	dizzy spell	tontura	a short period of feeling dizzy or lightheaded
349	faint	desmaiar	to lose consciousness briefly or lacking strength
350	to heal	curar	to become healthy again or recover from injury
351	pain reliever	analgésico	medicine used to reduce or eliminate pain
352	to rest	descansar	to stop activity to recover strength or health
353	to sprain	torcer (articulação)	to injure a joint by twisting it
354	surgeon	cirurgião	a doctor who performs operations
355	wound	ferida	an injury to the body, especially one that breaks the skin
356	painful	dolorido	causing physical or emotional pain
357	bled	sangrou	past tense of bleed; lost blood
358	sharp	afiado	having a thin edge or causing sudden strong pain
359	slight	leve; pequeno	small in degree or amount
360	acquaintance	conhecido (não íntimo)	a person known slightly but not well
361	awkward	estranho; constrangedor	causing discomfort or embarrassment
362	stitches	pontos (cirurgia)	medical thread used to close a wound
363	reached	chegou; alcançou	past of reach; arrived at or achieved something
364	layer	camada	a level or thickness covering something
365	stood	ficou em pé; permaneceu	past of stand; was upright or stayed in a place
366	cramp	cãibra; espasmo	painful muscle contraction
367	disease	doença	illness with a specific cause and symptoms
368	illness	doença; enfermidade	state of being sick or unwell
369	poisoning	intoxicação	harm caused by ingesting toxic substances
370	encounter	encontro	an unexpected meeting or experience
371	bump into	esbarrar em; encontrar por acaso	to meet someone unexpectedly
397	stood	ficou em pé; permaneceu	past of stand; stayed upright or remained somewhere
398	breezes	brisas	light and gentle winds
399	crawling	engatinhando; rastejando	moving slowly close to the ground
400	blow	soprar; golpe; explosão	to move air or strike suddenly
401	brightly	brilhantemente; intensamente	with strong light or vivid energy
402	leaned	inclinou-se; apoiou-se	past of lean; rested or bent toward something
403	carry	carregar; levar	to hold and move something from one place to another
404	glue	cola	substance used to stick things together
405	pullover	blusa de frio; suéter	clothing worn over the head
406	ink	tinta	liquid used for writing or printing
407	thin	fino; magro	having little thickness or width
408	peered	olhou atentamente; espiou	looked closely or with difficulty
409	armchair	poltrona	comfortable chair with arms
410	nuts	nozes;	types of hard-shelled food or slang for crazy
411	binge watch	maratonar séries	watch many episodes in one sitting
412	kill time	matar o tempo	do something while waiting
413	cozy	aconchegante; confortável	warm, comfortable, and relaxing
414	choir	coral; coro	group of people who sing together
415	stroked	acariciou; passou a mão	past of stroke; touched gently
416	wiping	enxugando; limpando	cleaning or drying by rubbing
417	corner	canto; esquina	a place where two sides meet
418	creepers	trepadeiras; rastejantes	climbing or spreading plants
419	shining	brilhando; reluzente	emitting or reflecting light
420	candles	velas	wax sticks with a wick that burn
421	well-mannered	educado; bem-comportado	polite and respectful in behavior
422	manners	boas maneiras	social rules of polite behavior
423	sticking	grudando; aderindo	present participle of stick; attaching or remaining fixed
424	wiped	limpou; enxugou	past of wipe; cleaned or dried by rubbing
425	shouting	gritando	speaking very loudly
426	perhaps	talvez	used to express uncertainty or possibility
427	wizard	mago; feiticeiro	person with magical powers or great skill
428	dire	crítico; grave	extremely serious or urgent
429	freedom	liberdade	state of being free to act or choose
430	vehicle	veículo	something used to transport people or goods
431	outweigh	superar; compensar mais	 to be more important or greater than something else
432	traffic jam	congestionamento; engarrafamento	a long line of vehicles stopped or moving slowly
433	reliable	confiável	someone or something you can trust
434	shell	concha; casca; invólucro	outer hard covering of something
435	assembly	assembleia; montagem	group gathered together or the act of putting parts together
436	till	até; caixa registradora	used to show time limit or a cash register (UK)
437	pile	pilha; monte	a heap or stack of things
438	breath	respiração; fôlego	the air taken into or expelled from the lungs
439	shelter	abrigo; proteger	a place that provides protection or safety
440	realize	perceber; compreender	to become aware of something
441	remain	permanecer; restar	to stay in the same place or condition
442	evaluate	avaliar	to judge or assess something carefully
443	approach	abordar; aproximação	to come near or deal with something
444	likely	provável	expected to happen
445	effort	esforço	physical or mental energy used to do something
446	outcome	resultado	final result of an action or situation
447	wander	vagar; perambular	to walk or move without a fixed direction
448	flushed	ruborizado; corado	face turning red due to emotion, heat, or effort
449	noticed	percebeu; notou	past of notice; became aware of something
450	leapt	saltou; pulou	past of leap; jumped suddenly
451	wonder	perguntar-se; maravilha	to feel curiosity or amazement
452	frowned	franziu a testa	past of frown; showed displeasure or concern
453	faded	desbotou; enfraqueceu	past of fade; lost color or strength
454	fee	taxa; tarifa	money charged for a service
